iter	Logloss
0	0.6179553125
1	0.5624902808
2	0.5138743264
3	0.47119856
4	0.4345122654
5	0.4043199889
6	0.377234638
7	0.355241435
8	0.3354379123
9	0.3196153066
10	0.3065669311
11	0.2939515328
12	0.2832806458
13	0.2736318885
14	0.2661489208
15	0.2597527286
16	0.2539661433
17	0.2489081497
18	0.2450702605
19	0.2407001091
20	0.2373851902
21	0.2342454948
22	0.2320031558
23	0.2292475268
24	0.227464596
25	0.2254275571
26	0.2238922391
27	0.2223341992
28	0.2207363445
29	0.2195637572
30	0.2183426804
31	0.2171352751
32	0.2164322208
33	0.2156163656
34	0.2147082988
35	0.2139971895
36	0.2132668418
37	0.2128364592
38	0.2123890861
39	0.2117761719
40	0.2113160282
41	0.2105531735
42	0.2099332702
43	0.209517354
44	0.2089734184
45	0.2086491305
46	0.2081991698
47	0.2075838441
48	0.207273692
49	0.2069940308
50	0.2066703502
51	0.2063229702
52	0.2059343383
53	0.2057471575
54	0.2052492787
55	0.2046926992
56	0.204392774
57	0.2040779568
58	0.2037558378
59	0.2036108923
60	0.2033606394
61	0.2031679974
62	0.2030238263
63	0.2026090811
64	0.2021017276
65	0.201566378
66	0.2013074132
67	0.2010922424
68	0.2009423792
69	0.2007888511
70	0.2006549436
71	0.2003850527
72	0.20012178
73	0.2000373233
74	0.1999281443
75	0.1996113808
76	0.1994695964
77	0.1992984567
78	0.1990970697
79	0.198697679
80	0.1983631106
81	0.1979177117
82	0.1978115628
83	0.1976494449
84	0.1974885857
85	0.197254081
86	0.1969632796
87	0.1965141057
88	0.1963658408
89	0.1959953998
90	0.1959021418
91	0.1956173073
92	0.1955510015
93	0.1954116213
94	0.1950530912
95	0.1946517499
96	0.1945326715
97	0.1943201222
98	0.1940057961
99	0.193938075
100	0.1938732619
101	0.1938152174
102	0.1937095075
103	0.1935765786
104	0.1934521167
105	0.1930600509
106	0.1928716265
107	0.1926819612
108	0.1926050294
109	0.1925421467
110	0.1924773141
111	0.192253099
112	0.1921335445
113	0.1920485481
114	0.1919213081
115	0.1916692219
116	0.1915294477
117	0.1914599591
118	0.1912766394
119	0.1911400109
120	0.1907628515
121	0.1905845015
122	0.1905034646
123	0.1903297395
124	0.1901251728
125	0.1900889643
126	0.1898279713
127	0.1896904767
128	0.1896197086
129	0.1894436214
130	0.1893280931
131	0.1891887516
132	0.1890274796
133	0.1888925273
134	0.1887859568
135	0.1886833164
136	0.1885749196
137	0.1885448574
138	0.1883269601
139	0.1881946711
140	0.1881335721
141	0.1880714713
142	0.1879088289
143	0.1878599397
144	0.18746653
145	0.187414732
146	0.1871974318
147	0.187159841
148	0.1870656022
149	0.1869145714
150	0.1866124536
151	0.1864433316
152	0.1864009202
153	0.1862970382
154	0.1862571679
155	0.1862085383
156	0.1861805947
157	0.1860655815
158	0.186015768
159	0.1859123935
160	0.185821007
161	0.1855219434
162	0.1853641874
163	0.1852250232
164	0.1850785361
165	0.1850054485
166	0.1849548482
167	0.1848932332
168	0.1847759909
169	0.1846998435
170	0.1846231757
171	0.1845721673
172	0.1845006208
173	0.184372012
174	0.1842837466
175	0.1842512774
176	0.1842037438
177	0.1839640406
178	0.1838889287
179	0.1837526164
180	0.1836613926
181	0.1834775869
182	0.1833247951
183	0.1832445931
184	0.1831349209
185	0.1830347872
186	0.1829596431
187	0.1828212919
188	0.1827598272
189	0.1826788506
190	0.1826465982
191	0.1826201063
192	0.182582913
193	0.1825025438
194	0.1823628233
195	0.1822853543
196	0.1822102868
197	0.1821547537
198	0.18207482
