iter	Passed	Remaining
0	9	9909
1	28	14030
2	36	12047
3	50	12460
4	59	11902
5	67	11135
6	76	10855
7	83	10327
8	90	9966
9	99	9899
10	107	9653
11	116	9627
12	125	9556
13	134	9480
14	145	9560
15	153	9457
16	161	9332
17	173	9439
18	179	9277
19	192	9437
20	199	9303
21	207	9239
22	225	9571
23	232	9438
24	240	9392
25	247	9278
26	257	9284
27	268	9330
28	277	9306
29	293	9475
30	303	9493
31	312	9460
32	319	9373
33	331	9430
34	341	9411
35	349	9349
36	358	9335
37	371	9412
38	385	9497
39	400	9613
40	412	9650
41	421	9614
42	431	9608
43	439	9549
44	447	9496
45	454	9435
46	464	9424
47	476	9441
48	486	9432
49	499	9492
50	509	9482
51	526	9594
52	534	9542
53	542	9502
54	558	9601
55	571	9627
56	589	9760
57	601	9770
58	613	9783
59	623	9764
60	639	9842
61	651	9850
62	661	9835
63	671	9816
64	681	9798
65	695	9844
66	703	9798
67	710	9744
68	717	9685
69	723	9615
70	731	9568
71	740	9541
72	747	9489
73	764	9569
74	772	9524
75	779	9482
76	790	9471
77	799	9445
78	807	9419
79	814	9366
80	823	9342
81	833	9328
82	839	9280
83	848	9255
84	859	9251
85	869	9241
86	876	9200
87	882	9150
88	891	9129
89	903	9138
90	915	9144
91	928	9166
92	935	9120
93	942	9088
94	956	9115
95	969	9125
96	977	9096
97	983	9054
98	994	9054
99	1006	9055
100	1012	9010
101	1024	9015
102	1032	8994
103	1038	8946
104	1046	8924
105	1053	8883
106	1058	8830
107	1070	8838
108	1076	8796
109	1085	8784
110	1098	8801
111	1105	8764
112	1115	8754
113	1123	8732
114	1132	8712
115	1138	8675
116	1146	8653
117	1159	8666
118	1168	8648
119	1174	8611
120	1180	8578
121	1186	8538
122	1195	8522
123	1203	8499
124	1209	8463
125	1215	8433
126	1223	8409
127	1229	8379
128	1236	8350
129	1245	8334
130	1255	8325
131	1262	8301
132	1269	8278
133	1280	8277
134	1296	8305
135	1302	8277
136	1309	8250
137	1320	8246
138	1327	8224
139	1340	8234
140	1355	8255
141	1367	8260
